system_a,system_b,n_sh,acc_a,acc_b,a>b,b>a,p_value,sig_0.05,method
bm25,dense,50,0.44,0.54,3,8,0.2266,False,exact-binomial
bm25,dense_summarized,50,0.44,0.34,12,7,0.3593,False,exact-binomial
bm25,mem0_lite,50,0.44,0.08,18,0,0.0,True,exact-binomial
bm25,onehot,50,0.44,0.38,5,2,0.4531,False,exact-binomial
bm25,oracle,50,0.44,0.56,7,13,0.2632,False,exact-binomial
bm25,tfidf,50,0.44,0.44,3,3,1.0,False,exact-binomial
dense,dense_summarized,50,0.54,0.34,17,7,0.0639,False,exact-binomial
dense,mem0_lite,50,0.54,0.08,23,0,0.0,True,exact-binomial
dense,onehot,50,0.54,0.38,12,4,0.0768,False,exact-binomial
dense,oracle,50,0.54,0.56,8,9,1.0,False,exact-binomial
dense,tfidf,50,0.54,0.44,8,3,0.2266,False,exact-binomial
dense_summarized,mem0_lite,50,0.34,0.08,13,0,0.0002,True,exact-binomial
dense_summarized,onehot,50,0.34,0.38,8,10,0.8145,False,exact-binomial
dense_summarized,oracle,50,0.34,0.56,4,15,0.0192,True,exact-binomial
dense_summarized,tfidf,50,0.34,0.44,7,12,0.3593,False,exact-binomial
mem0_lite,onehot,50,0.08,0.38,0,15,0.0001,True,exact-binomial
mem0_lite,oracle,50,0.08,0.56,0,24,0.0,True,exact-binomial
mem0_lite,tfidf,50,0.08,0.44,0,18,0.0,True,exact-binomial
onehot,oracle,50,0.38,0.56,4,13,0.049,True,exact-binomial
onehot,tfidf,50,0.38,0.44,4,7,0.5488,False,exact-binomial
oracle,tfidf,50,0.56,0.44,13,7,0.2632,False,exact-binomial
